name_of_city,state_code,state_name,dist_code,population_total,population_male,population_female,0-6_population_total,0-6_population_male,0-6_population_female,literates_total,literates_male,literates_female,sex_ratio,child_sex_ratio,effective_literacy_rate_total,effective_literacy_rate_male,effective_literacy_rate_female,location,total_graduates,male_graduates,female_graduates,checkin_acc,duration,credit_history,amount,savings_acc,present_emp_since,inst_rate,personal_status,residing_since,age,inst_plans,num_credits,job,status,year,region,npg,birth_rate,death_rate,migratory_growth,population
Kishangarh ,8,RAJASTHAN,21,155019,80343,74676,21765,11602,10163,106809,61313,45496,929,876,80.15,89.19,70.52,"26.5870344,74.856397",13054,8153,4901,A14,18,A32,2662,A65,A74,4,A93,3,32,A143,1,A173,0,1993,Zabaykalsky Krai,-0.3,12.6,12.9,,1283764
Kochi ,32,KERALA,8,601574,296668,304906,52466,26863,25603,535318,265256,270062,1028,953,97.49,98.31,96.69,"9.9312328,76.2673041",115773,54538,61235,A14,12,A34,1402,A63,A74,3,A92,4,37,A143,1,A173,0,1993,Ivanovo Oblast,-9,8.1,17.1,,1279087
Kolar ,29,KARNATAKA,27,138553,70064,68489,15993,8055,7938,102978,54121,48857,978,985,84.02,87.28,80.69,"13.1357446,78.1325611",11508,7007,4501,A12,48,A31,12169,A65,A71,4,A93,4,36,A143,1,A174,0,1993,Republic of Ingushetia,,,,,195821
Kolhapur ,27,MAHARASHTRA,34,549283,280820,268463,49914,27245,22669,459999,244256,215743,956,832,92.12,96.32,87.77,"16.7049873,74.2432527",92443,52599,39844,A12,48,A32,3060,A61,A74,4,A93,4,28,A143,2,A173,1,1993,Irkutsk Oblast,-2.7,11.1,13.8,,2784043
Kolkata ,19,WEST BENGAL,16,4486679,2362662,2124017,300052,155475,144577,3648210,1966122,1682088,899,930,87.14,89.08,84.98,"22.572646,88.363895",818476,461615,356861,A11,30,A32,11998,A61,A72,1,A91,1,34,A143,1,A172,1,1993,Kabardino-Balkar Republic,4.9,14.6,9.7,,803318
Kollam ,32,KERALA,13,349033,168076,180957,31304,16018,15286,292641,142714,149927,1077,954,92.1,93.85,90.5,"8.8932118,76.6141396",39521,17708,21813,A14,9,A32,2697,A61,A73,1,A93,2,32,A143,1,A173,0,1993,Kaliningrad Oblast,-4.5,8.9,13.4,,911348
Korba ,22,CHHATTISGARH,5,363210,188514,174696,45354,23426,21928,267900,151701,116199,927,936,84.28,91.89,76.06,"22.3594501,82.7500595",38726,23427,15299,A14,18,A34,2404,A61,A73,2,A92,2,26,A143,2,A173,0,1993,Republic of Kalmykia,5.9,15.8,9.9,,319605
Kota ,8,RAJASTHAN,29,1001365,529795,471570,118139,62958,55181,738795,422767,316028,890,876,83.65,90.56,75.9,"25.2138156,75.8647527",128652,73452,55200,A11,12,A32,1262,A65,A75,2,A91,4,49,A143,1,A172,0,1993,Kaluga Oblast,-7.9,8,15.9,,1079108
Kozhikode ,32,KERALA,4,432097,206494,225603,41574,21208,20366,378033,181451,196582,1093,960,96.8,97.93,95.78,"11.2587531,75.78041",61225,27701,33524,A14,6,A32,4611,A61,A72,1,A92,4,32,A143,1,A173,1,1993,Kamchatka Krai,-1.3,8.6,9.9,,458899
Krishnanagar ,19,WEST BENGAL,10,152203,76700,75503,10794,5624,5170,128574,66262,62312,984,919,90.92,93.23,88.6,"23.4008744,88.5013962",21326,12541,8785,A14,24,A32,1901,A62,A73,4,A93,4,29,A143,1,A174,0,1993,Karachay-Cherkess Republic,2.9,12.9,10,,433088
Kulti ,19,WEST BENGAL,9,313977,163819,150158,33375,17321,16054,214889,123380,91509,917,927,76.58,84.22,68.24,"23.7370306,86.8370937",19371,12890,6481,A14,15,A34,3368,A64,A75,3,A93,4,23,A143,2,A173,0,1993,Republic of Karelia,-6.1,9,15.1,,786088
Kumbakonam ,33,TAMIL NADU,19,140113,69350,70763,11972,6032,5940,117500,60262,57238,1020,985,91.7,95.17,88.3,"10.9616945,79.3881132",16862,9458,7404,A14,12,A32,1574,A61,A73,4,A93,2,50,A143,1,A173,0,1993,Kemerovo Oblast,-6.6,9.1,15.7,,3093199
Kurichi ,33,TAMIL NADU,31,125800,63033,62767,12092,6111,5981,102816,53578,49238,996,979,90.42,94.13,86.71,"11.5707716,77.6966143",13160,6926,6234,A13,18,A31,1445,A65,A74,4,A93,4,49,A141,1,A172,0,1993,Kirov Oblast,-6.3,8.8,15.1,,1641886
Kurnool ,28,ANDHRA PRADESH,21,424920,211875,213045,44264,22875,21389,297490,158744,138746,1006,935,78.15,83.99,72.39,"15.8281257,78.0372792",60589,37618,22971,A14,15,A34,1520,A65,A75,4,A93,4,63,A143,1,A173,0,1993,Kostroma Oblast,-7.9,8.3,16.2,,799790
Lakhimpur ,9,UTTAR PRADESH,22,152010,81050,70960,16307,8712,7595,114526,63317,51209,876,872,84.39,87.53,80.82,"27.9490794,80.7824012",25967,15036,10931,A12,24,A34,3878,A62,A72,4,A91,2,37,A143,1,A173,0,1993,Krasnodar Krai,-5.5,10.2,15.7,,4864010
Lalitpur ,9,UTTAR PRADESH,36,133041,69548,63493,16193,8413,7780,98108,55330,42778,913,925,83.96,90.5,76.78,"24.6878597,78.4120206",17013,10255,6758,A11,47,A32,10722,A61,A72,1,A92,1,35,A143,1,A172,0,1993,Krasnoyarsk Krai,-3.3,9.7,13,,3160594
Latur ,27,MAHARASHTRA,28,382754,198151,184603,45822,24773,21049,291226,160070,131156,932,850,86.43,92.32,80.19,"18.4087934,76.5603828",42355,27669,14686,A11,48,A32,4788,A61,A74,4,A93,3,26,A143,1,A173,0,1993,Republic of Crimea,,,,,
Loni ,9,UTTAR PRADESH,9,512296,273859,238437,76231,40450,35781,328096,194048,134048,871,885,75.24,83.14,66.15,"28.7316438,77.3008506",15572,10092,5480,A12,48,A33,7582,A62,A71,2,A93,4,31,A143,1,A174,0,1993,Kurgan Oblast,-4.8,9.9,14.7,,1106598
Lucknow ,9,UTTAR PRADESH,26,2815601,1470133,1345468,280817,147690,133127,2147564,1161250,986314,915,901,84.72,87.81,81.36,"26.8466937,80.946166",596990,326431,270559,A12,12,A32,1092,A61,A73,4,A92,4,49,A143,2,A173,0,1993,Kursk Oblast,-7.6,9.1,16.7,,1328161
Ludhiana ,3,PUNJAB,7,1613878,874773,739105,173021,92492,80529,1230218,691161,539057,845,871,85.38,88.35,81.85,"30.900965,75.8572758",211267,104104,107163,A11,24,A33,1024,A61,A72,4,A94,4,48,A142,1,A173,1,1993,Leningrad Oblast,-10.7,7.1,17.8,,1680519
Machilipatnam ,28,ANDHRA PRADESH,16,170008,83561,86447,13778,7076,6702,130173,66337,63836,1035,947,83.32,86.73,80.05,"16.1905457,81.1361543",19872,11957,7915,A14,12,A32,1076,A61,A73,2,A94,2,26,A143,1,A173,0,1993,Lipetsk Oblast,-6.9,8.7,15.6,,1238911
Madanapalle ,28,ANDHRA PRADESH,23,135669,67432,68237,13448,6944,6504,99486,52994,46492,1012,937,81.4,87.61,75.31,"13.5603491,78.5036065",16385,10050,6335,A12,36,A32,9398,A61,A72,1,A94,4,28,A143,1,A174,1,1993,Magadan Oblast,-2.4,8.9,11.3,,323673
Madavaram ,33,TAMIL NADU,1,118525,59631,58894,11835,6049,5786,96308,50467,45841,988,957,90.27,94.19,86.32,"13.147819,80.2309861",18525,10179,8346,A11,24,A34,6419,A61,A75,2,A92,4,44,A143,2,A174,0,1993,Mari El Republic,-2.1,10.6,12.7,,758363
Madhyamgram ,19,WEST BENGAL,11,198964,100611,98353,15248,7769,7479,165630,86682,78948,978,963,90.16,93.37,86.88,"22.6925015,88.465448",27584,16352,11232,A13,42,A34,4796,A61,A75,4,A93,4,56,A143,1,A173,0,1993,Republic of Mordovia,-4.1,9.7,13.8,,960671
Madurai ,33,TAMIL NADU,22,1016885,509313,507572,91497,46785,44712,845990,440419,405571,997,956,91.42,95.22,87.62,"9.9252007,78.1197754",129719,73889,55830,A14,48,A34,7629,A65,A75,4,A91,2,46,A141,2,A174,0,1993,Moscow,-9.2,6.9,16.1,,9066025
Mahbubnagar ,28,ANDHRA PRADESH,7,157902,79423,78479,16791,8761,8030,119626,64187,55439,988,917,84.77,90.84,78.69,"16.7375089,78.0081221",30286,18972,11314,A12,48,A32,9960,A61,A72,1,A92,2,26,A143,1,A173,1,1993,Moscow Oblast,-9.1,6.9,16,,6704332
Mahesana ,24,GUJARAT,4,184133,97212,86921,17337,9838,7499,151773,83642,68131,894,762,90.99,95.73,85.78,"23.5879607,72.3693252",27191,16287,10904,A14,12,A32,4675,A65,A72,1,A92,4,20,A143,1,A173,0,1993,Murmansk Oblast,-2.8,7.2,10,,1133261
Maheshtala ,19,WEST BENGAL,17,449423,231044,218379,43469,22210,21259,335440,179762,155678,945,957,82.63,86.08,78.98,"22.511976,88.2509941",33247,19939,13308,A14,10,A32,1287,A65,A75,4,A93,2,45,A143,1,A172,0,1993,Nenets Autonomous Okrug,1.2,12.4,11.2,,48235
Mainpuri ,9,UTTAR PRADESH,17,117327,61481,55846,14300,7735,6565,88548,48215,40333,908,849,85.95,89.71,81.84,"27.2177405,79.1096901",18745,10865,7880,A14,18,A32,2515,A61,A73,3,A93,4,43,A143,1,A173,0,1993,Nizhny Novgorod Oblast,-8.1,7.9,16,,3753098
Malegaon ,27,MAHARASHTRA,20,471006,239243,231763,74494,38387,36107,343611,181084,162527,969,941,86.66,90.16,83.07,"20.5547497,74.5100291",22830,13345,9485,A12,21,A34,2745,A64,A74,3,A93,2,32,A143,2,A173,0,1993,Novgorod Oblast,-10.9,8,18.9,,746950
Malerkotla ,3,PUNJAB,19,135330,71401,63929,16315,8365,7950,83606,47164,36442,895,950,70.25,74.82,65.1,"30.5232076,75.8882508",9767,5227,4540,A14,6,A32,672,A61,A71,1,A92,4,54,A143,1,A171,0,1993,Novosibirsk Oblast,-5.5,8.9,14.4,,2746874
Mandoli ,7,NCT OF DELHI,3,120345,64123,56222,16212,8547,7665,84053,48535,35518,877,897,80.72,87.33,73.15,"28.7041396,77.313921",7274,4596,2678,A12,36,A30,3804,A61,A73,4,A92,1,42,A143,1,A173,1,1993,Omsk Oblast,-1.1,10.8,11.9,,2168933
Mandsaur ,23,MADHYA PRADESH,16,141468,72370,69098,15721,8282,7439,109135,59436,49699,955,898,86.79,92.74,80.6,"24.076836,75.0692952",18225,10920,7305,A13,24,A34,1344,A65,A74,4,A93,2,37,A141,2,A172,1,1993,Orenburg Oblast,-2,11,13,,2182602
Mandya ,29,KARNATAKA,19,137735,68748,68987,13269,6826,6443,105938,55442,50496,1003,944,85.11,89.54,80.74,"12.5221567,76.9009191",16203,9858,6345,A11,10,A34,1038,A61,A74,4,A93,3,49,A143,2,A173,0,1993,Oryol Oblast,-6.9,9.2,16.1,,903489
Mangalore ,29,KARNATAKA,21,484785,240651,244134,41471,21485,19986,416863,211482,205381,1014,930,94.03,96.49,91.63,"12.9141417,74.8559568",78097,39002,39095,A14,48,A34,10127,A63,A73,2,A93,2,44,A141,1,A173,1,1993,Penza Oblast,-5.9,8.9,14.8,,1553447
Mango ,20,JHARKHAND,12,224002,116243,107759,28258,14769,13489,169548,92914,76634,927,913,86.62,91.56,81.29,"22.834024,86.219577",28682,17145,11537,A14,6,A32,1543,A64,A73,4,A91,2,33,A143,1,A173,0,1993,Perm Krai,-5.4,9.8,15.2,,3003412
Mathura ,9,UTTAR PRADESH,14,349336,186586,162750,41888,22536,19352,235976,134597,101379,872,859,76.75,82.05,70.7,"27.4924134,77.673673",44357,26068,18289,A14,30,A32,4811,A65,A74,2,A92,4,24,A142,1,A172,0,1993,Primorsky Krai,-3.4,9.6,13,,2302779
Maunath Bhanjan ,9,UTTAR PRADESH,61,279060,143273,135787,40651,20820,19831,187382,102802,84580,948,952,78.6,83.95,72.94,"25.9496379,83.5586445",20775,12297,8478,A11,12,A32,727,A62,A72,4,A94,3,33,A143,1,A172,1,1993,Pskov Oblast,-12.4,8.1,20.5,,836046
Medinipur ,19,WEST BENGAL,18,169127,85362,83765,14365,7259,7106,139303,72948,66355,981,979,90.01,93.4,86.56,"22.4308892,87.3214908",28498,17243,11255,A12,8,A32,1237,A61,A73,3,A92,4,24,A143,1,A173,1,1993,Altai Republic,1.2,14.6,13.4,,196371
Meerut ,9,UTTAR PRADESH,7,1309023,689567,619456,163910,88567,75343,889729,499928,389801,898,851,77.7,83.18,71.64,"28.9844618,77.7064137",174025,95192,78833,A12,9,A32,276,A61,A73,4,A94,4,22,A143,1,A172,0,1993,Komi Republic,-2.1,10.1,12.2,,1206079
Mira Bhayander ,27,MAHARASHTRA,21,814655,434330,380325,84238,44688,39550,684165,375671,308494,876,885,93.67,96.41,90.53,"19.2952325,72.8543897",118506,65979,52527,A12,48,A32,5381,A65,A71,3,A93,4,40,A141,1,A171,0,1993,Tuva Republic,8.8,20.3,11.5,,302348
Miryalaguda ,28,ANDHRA PRADESH,8,103855,52048,51807,10435,5357,5078,76693,41697,34996,995,948,82.09,89.3,74.89,"16.8753106,79.5659633",13377,8688,4689,A14,24,A32,5511,A62,A73,4,A93,1,25,A142,1,A173,0,1993,Rostov Oblast,-5.5,9.4,14.9,,4404578
Mirzapur-cum-Vindhyachal ,9,UTTAR PRADESH,68,233691,125003,108688,27774,14779,12995,161128,92423,68705,869,879,78.25,83.85,71.8,"25.1336987,82.5644344",25846,16225,9621,A13,24,A32,3749,A61,A72,2,A92,4,26,A143,1,A173,0,1993,Ryazan Oblast,-9.1,8.1,17.2,,1341302
Modinagar ,9,UTTAR PRADESH,9,130161,69179,60982,14181,7975,6206,104383,58282,46101,882,778,90,95.23,84.16,"28.8316307,77.5779592",24695,13484,11211,A12,12,A32,685,A61,A74,2,A94,3,25,A141,1,A172,1,1993,Samara Oblast,-4.9,9.1,14,,3268767
Moga ,3,PUNJAB,8,150432,79760,70672,15502,8348,7154,110764,60698,50066,886,857,82.09,85,78.82,"30.8164603,75.1717093",17762,8356,9406,A13,4,A32,1494,A65,A72,1,A93,2,29,A143,1,A172,0,1993,Saint Petersburg,-10.8,6.6,17.4,,4942891
Moradabad ,9,UTTAR PRADESH,4,889810,466432,423378,110376,57999,52377,550637,302447,248190,908,903,70.65,74.05,66.9,"28.8386481,78.7733286",91999,48955,43044,A11,36,A31,2746,A61,A75,4,A93,4,31,A141,1,A173,1,1993,Saratov Oblast,-5.5,9.1,14.6,,2718415
Morena ,23,MADHYA PRADESH,2,200506,108405,92101,26454,14636,11818,139903,83531,56372,850,807,80.38,89.08,70.22,"26.4933562,77.9909949",21351,14504,6847,A11,12,A32,708,A61,A73,2,A93,3,38,A143,1,A172,0,1993,Sakhalin Oblast,-3.3,9,12.3,,706651
Morvi ,24,GUJARAT,9,188278,97860,90418,21854,11736,10118,140779,77826,62953,924,862,84.59,90.37,78.4,"22.8119895,70.8236195",15195,8441,6754,A12,24,A32,4351,A65,A73,1,A92,4,48,A143,1,A172,0,1993,Sverdlovsk Oblast,-6.5,8.5,15,,4732538
Motihari ,10,BIHAR,2,125183,67438,57745,16325,8891,7434,94926,52904,42022,856,836,87.2,90.36,83.52,"26.6469624,84.9088938",19550,13634,5916,A14,12,A34,701,A61,A73,4,A93,2,32,A143,2,A173,0,1993,Sevastopol,,,,,
Mughalsarai ,9,UTTAR PRADESH,65,110110,57925,52185,13997,7377,6620,79611,45305,34306,901,897,82.83,89.63,75.29,"25.2814947,83.1198203",11758,7244,4514,A11,15,A33,3643,A61,A75,1,A92,4,27,A143,2,A172,0,1993,Republic of North Ossetia-Alania,0.6,12.5,11.9,,661783
Muktsar ,3,PUNJAB,10,117085,62005,55080,13639,7448,6191,79979,45007,34972,888,831,77.31,82.5,71.53,"30.4766391,74.511172",11785,5931,5854,A12,30,A34,4249,A61,A71,4,A94,2,28,A143,2,A174,1,1993,Smolensk Oblast,-8.4,8.3,16.7,,1151759
Munger ,10,BIHAR,24,213101,113173,99928,29260,15323,13937,150435,84571,65864,883,910,81.83,86.43,76.59,"25.3747561,86.4735251",19988,13825,6163,A11,24,A32,1938,A61,A72,4,A91,3,32,A143,1,A173,1,1993,Stavropol Krai,-2.3,11,13.3,,2575440
Murwara ,23,MADHYA PRADESH,33,221875,115463,106412,25168,13299,11869,171966,94777,77189,922,892,87.42,92.77,81.64,"23.7473807,80.365865",27011,15456,11555,A11,24,A32,2910,A61,A74,2,A93,1,34,A143,1,A174,0,1993,Tambov Oblast,-8.6,8.9,17.5,,1303773
Mustafabad ,7,NCT OF DELHI,3,127012,66754,60258,19370,10176,9194,81915,47714,34201,903,903,76.1,84.33,66.98,"28.7113968,77.2681086",4462,2950,1512,A11,18,A32,2659,A64,A73,4,A93,2,28,A143,1,A173,0,1993,Republic of Tatarstan,-0.9,11,11.9,,3719831
Muzaffarnagar ,9,UTTAR PRADESH,2,392451,206902,185549,48692,26401,22291,278405,154902,123503,897,844,80.99,85.82,75.65,"29.4726817,77.7085091",58965,31729,27236,A14,18,A34,1028,A61,A73,4,A92,3,36,A143,2,A173,0,1993,Tver Oblast,-11.8,7.9,19.7,,1639834
Muzaffarpur ,10,BIHAR,14,351838,186145,165693,42276,22287,19989,263638,145548,118090,890,897,85.16,88.83,81.05,"26.1208876,85.3647201",61914,40575,21339,A11,8,A34,3398,A61,A74,1,A93,4,39,A143,2,A172,0,1993,Tomsk Oblast,-4.4,8.1,12.5,,1075425
Mysore ,29,KARNATAKA,23,887446,443813,443633,77988,40106,37882,702896,363157,339739,1000,945,86.84,89.96,83.73,"12.2958104,76.6393805",149306,85019,64287,A14,12,A34,5801,A65,A75,2,A93,4,49,A143,1,A173,0,1993,Tula Oblast,-10.8,7.7,18.5,,1834100
Nabadwip ,19,WEST BENGAL,10,125528,65300,60228,8388,4329,4059,102793,55569,47224,922,938,87.75,91.14,84.07,"23.4036446,88.3676393",10083,6492,3591,A14,24,A32,1525,A64,A74,4,A92,3,34,A143,1,A173,0,1993,Tyumen Oblast,1.2,10.6,9.4,,1400387
Nadiad ,24,GUJARAT,16,218150,112381,105769,19994,10804,9190,174931,94468,80463,941,851,88.28,93,83.31,"22.6915853,72.8633635",27432,16224,11208,A13,36,A32,4473,A61,A75,4,A93,2,31,A143,1,A173,0,1993,Udmurt Republic,-2.9,10.6,13.5,,1624841
Nagaon ,18,ASSAM,6,116355,59021,57334,11388,5574,5814,98068,52690,45378,971,1043,93.43,98.58,88.08,"26.3463713,92.6840426",15273,8798,6475,A12,6,A32,1068,A61,A75,4,A93,4,28,A143,1,A173,0,1993,Ulyanovsk Oblast,-3.4,9.8,13.2,,1447819
Nagapattinam ,33,TAMIL NADU,17,102838,50809,52029,11308,5858,5450,81913,42374,39539,1024,930,89.49,94.27,84.89,"10.7656082,79.8423888",8469,4900,3569,A11,24,A34,6615,A61,A71,2,A93,4,75,A143,2,A174,0,1993,Khabarovsk Krai,-2.8,9.7,12.5,,1607662
Nagaur ,8,RAJASTHAN,14,100618,52220,48398,12974,6914,6060,64028,37179,26849,927,876,73.05,82.06,63.42,"27.1991222,73.740924",7812,5384,2428,A14,18,A34,1864,A62,A73,4,A92,2,30,A143,2,A173,1,1993,Republic of Khakassia,-3.9,10.7,14.6,,574367
Nagda ,23,MADHYA PRADESH,18,100036,51410,48626,11053,5840,5213,72618,40765,31853,946,893,81.61,89.46,73.37,"23.4454599,75.4169918",9844,5707,4137,A12,60,A32,7408,A62,A72,4,A92,2,24,A143,1,A174,1,1993,Khanty–Mansi Autonomous Okrug – Yugra,4,11.4,7.4,,1267751
Nagercoil ,33,TAMIL NADU,28,224329,110132,114197,19034,9599,9435,195748,97545,98203,1037,983,95.35,97.03,93.74,"8.1832857,77.4118996",34342,17826,16516,A14,48,A34,11590,A62,A73,2,A92,4,24,A141,2,A172,1,1993,Chelyabinsk Oblast,-4.5,8.9,13.4,,3700052
Nagpur ,27,MAHARASHTRA,9,2405421,1226610,1178811,237865,123851,114014,2018598,1060359,958239,961,921,93.13,96.16,89.99,"21.1458004,79.0881546",382282,201349,180933,A11,24,A30,4110,A61,A75,3,A93,4,23,A141,2,A173,1,1993,Chechen Republic,,,,,1280519
Naihati ,19,WEST BENGAL,11,221762,112773,108989,17442,9057,8385,183458,96626,86832,966,926,89.79,93.16,86.31,"22.8928724,88.4220324",23181,13877,9304,A11,6,A34,3384,A61,A73,1,A91,4,44,A143,1,A174,1,1993,Chuvash Republic,-1.8,10.7,12.5,,1347818
Nalgonda ,28,ANDHRA PRADESH,8,135163,67749,67414,13562,6924,6638,105885,56100,49785,995,959,87.08,92.23,81.92,"17.0575707,79.2620294",26575,16916,9659,A12,13,A32,2101,A61,A72,2,A92,4,23,A143,1,A172,0,1993,Chukotka Autonomous Okrug,2.4,10.1,7.7,,124351
Nanded Waghala ,27,MAHARASHTRA,15,550564,286152,264412,68181,36417,31764,421606,231449,190157,924,872,87.4,92.68,81.74,"19.1428869,77.303723",57736,38146,19590,A11,15,A32,1275,A65,A73,4,A92,2,24,A143,1,A173,1,1993,Sakha (Yakutia) Republic,6.8,15.6,8.8,,1079678
Nandurbar ,27,MAHARASHTRA,1,111067,57543,53524,12621,6868,5753,85635,46673,38962,930,838,86.99,92.1,81.56,"21.7468548,74.123996",11451,7441,4010,A11,24,A32,4169,A61,A73,4,A93,4,28,A143,1,A173,0,1993,Yamalo-Nenets Autonomous Okrug,6.3,12.2,5.9,,463790
Nandyal ,28,ANDHRA PRADESH,21,200746,100770,99976,20588,10723,9865,138525,75749,62776,992,920,76.89,84.12,69.67,"15.4785694,78.4830934",22411,14540,7871,A12,10,A32,1521,A61,A73,4,A91,2,31,A143,1,A172,0,1993,Yaroslavl Oblast,-9.9,7.2,17.1,,1464220
Nangloi Jat ,7,NCT OF DELHI,7,205497,110068,95429,28274,15215,13059,147805,85448,62357,867,858,83.4,90.08,75.7,"28.6841206,77.0632942",12692,7779,4913,A12,24,A34,5743,A61,A72,2,A92,4,24,A143,2,A173,0,1994,Republic of Adygea,-3.6,10.9,14.5,,448480
Narasaraopet ,28,ANDHRA PRADESH,17,116329,58898,57431,10445,5390,5055,84123,45796,38327,975,938,79.45,85.59,73.18,"16.2353506,80.0479039",13872,8984,4888,A11,21,A32,3599,A61,A74,1,A92,4,26,A143,1,A172,0,1994,Altai Krai,-5.9,9.2,15.1,,2684297
Nashik ,27,MAHARASHTRA,20,1486973,784995,701978,169753,91457,78296,1198144,658585,539559,894,856,90.96,94.96,86.51,"19.9974533,73.7898023",204014,116855,87159,A12,18,A32,3213,A63,A72,1,A94,3,25,A143,1,A173,0,1994,Amur Oblast,-2.3,11,13.3,,1018407
Navi Mumbai ,27,MAHARASHTRA,21,1119477,611501,507976,124015,65230,58785,911542,519257,392285,831,901,91.57,95.05,87.33,"19.0330488,73.0296625",192624,107448,85176,A12,18,A32,4439,A61,A75,1,A93,1,33,A141,1,A174,0,1994,Arkhangelsk Oblast,-6.5,9.4,15.9,,1471475
Navi Mumbai Panvel Raigarh ,27,MAHARASHTRA,24,194999,107771,87228,25679,13633,12046,153608,88833,64775,809,884,90.72,94.36,86.16,"18.9894007,73.1175162",22631,13561,9070,A13,10,A32,3949,A61,A72,1,A93,1,37,A143,1,A172,0,1994,Astrakhan Oblast,-3.6,10.7,14.3,,1006099
Navsari ,24,GUJARAT,23,160100,82925,77175,15754,8427,7327,128822,69437,59385,931,869,89.25,93.21,85.02,"20.9467019,72.9520348",17425,9219,8206,A14,15,A34,1459,A61,A73,4,A92,2,43,A143,1,A172,0,1994,Republic of Bashkortostan,-1.7,11.7,13.4,,4037178
Neemuch ,23,MADHYA PRADESH,15,128108,67322,60786,14950,7809,7141,97156,54829,42327,903,914,85.86,92.13,78.9,"24.4763852,74.8624092",16428,9669,6759,A12,13,A34,882,A61,A72,4,A93,4,23,A143,2,A173,0,1994,Belgorod Oblast,-5.8,9.8,15.6,,1434551
Nellore ,28,ANDHRA PRADESH,19,505258,257043,248215,42041,21701,20340,387192,205988,181204,966,937,83.59,87.53,79.52,"14.4425987,79.986456",67787,42377,25410,A12,24,A32,3758,A63,A71,1,A92,4,23,A143,1,A171,0,1994,Bryansk Oblast,-7.2,9.8,17,,1462308
New Delhi ,7,NCT OF DELHI,99,249998,136438,113560,20857,11158,9699,208352,118453,89899,832,869,90.93,94.55,86.56,"28.6139,77.2090",63573,35345,28228,A14,6,A33,1743,A62,A73,1,A93,2,34,A143,2,A172,0,1994,Republic of Buryatia,-1.2,11.9,13.1,,1039946
Neyveli ,33,TAMIL NADU,16,105687,53442,52245,6634,3496,3138,90114,47876,42238,978,898,90.98,95.86,86.01,"11.5432364,79.4760133",18507,9716,8791,A12,9,A34,1136,A64,A75,4,A93,3,32,A143,2,A173,1,1994,Vladimir Oblast,-9.3,8.1,17.4,,1634028
Nizamabad ,28,ANDHRA PRADESH,2,310467,155163,155304,34256,17408,16848,221829,119603,102226,1001,968,80.31,86.82,73.83,"18.6725047,78.0940867",34574,22062,12512,A14,9,A32,1236,A61,A72,1,A92,4,23,A143,1,A173,0,1994,Volgograd Oblast,-5.8,9.5,15.3,,2693887
Noida ,9,UTTAR PRADESH,10,642381,352577,289804,83530,44493,39037,495045,286216,208829,822,877,88.58,92.9,83.28,"28.5355161,77.3910265",143014,80692,62322,A12,9,A32,959,A61,A73,1,A92,2,29,A143,1,A173,1,1994,Vologda Oblast,-7.9,8.9,16.8,,1348063
North Barrackpur ,19,WEST BENGAL,11,134825,68136,66689,8265,4310,3955,119954,61810,58144,979,918,94.78,96.84,92.68,"22.7902358,88.367179",23047,13155,9892,A14,18,A34,3229,A65,A71,2,A93,4,38,A143,1,A174,0,1994,Voronezh Oblast,-8.5,8.7,17.2,,2488228
North Dum Dum ,19,WEST BENGAL,11,253625,128620,125005,17290,8871,8419,217371,112967,104404,972,949,91.98,94.34,89.55,"22.6658076,88.4258483",40842,24007,16835,A11,12,A30,6199,A61,A73,4,A93,2,28,A143,2,A173,1,1994,Republic of Dagestan,13.8,21,7.2,,2033523
Ongole ,28,ANDHRA PRADESH,18,202826,101728,101098,18673,9651,9022,153888,82322,71566,994,935,83.57,89.41,77.72,"15.5057232,80.049922",32491,20610,11881,A14,10,A32,727,A63,A75,4,A93,4,46,A143,1,A173,0,1994,Jewish Autonomous Oblast,-2.1,12.1,14.2,,215960
Orai ,9,UTTAR PRADESH,34,187185,99564,87621,20031,10859,9172,139256,79478,59778,880,845,83.31,89.6,76.2,"26.00864,79.4478858",29393,18954,10439,A12,24,A32,1246,A61,A72,4,A93,2,23,A142,1,A172,1,1994,Zabaykalsky Krai,-1.6,13,14.6,,1269690
Osmanabad ,27,MAHARASHTRA,29,112085,58098,53987,13346,7184,6162,87041,47577,39464,929,858,88.15,93.45,82.52,"18.2069636,76.1783739",14303,9459,4844,A14,12,A34,2331,A65,A75,1,A93,4,49,A143,1,A173,0,1994,Ivanovo Oblast,-11.4,7.7,19.1,,1269218
Ozhukarai ,34,PUDUCHERRY,2,300028,148154,151874,29214,14910,14304,244264,126663,117601,1025,959,90.2,95.06,85.48,"11.9475611,79.7793932",50682,28317,22365,A14,36,A33,4463,A61,A73,4,A93,2,26,A143,2,A174,1,1994,Republic of Ingushetia,,,,,194171
Palakkad ,32,KERALA,6,131019,63833,67186,11614,5930,5684,112479,56065,56414,1053,959,94.2,96.83,91.73,"10.7867303,76.6547932",16827,8436,8391,A14,12,A32,776,A61,A73,4,A94,2,28,A143,1,A173,0,1994,Irkutsk Oblast,-3.8,11.4,15.2,,2764225
Palanpur ,24,GUJARAT,2,127125,66384,60741,14382,7810,6572,97459,55139,42320,915,841,86.44,94.14,78.13,"24.174051,72.4330989",15127,9802,5325,A11,30,A32,2406,A61,A74,4,A92,4,23,A143,1,A173,1,1994,Kabardino-Balkar Republic,4.1,14,9.9,,810033
